bowler,wicket
A Lyth,0
Mohammad Zeeshan,0
Nauman Ali,0
Naseem Shah,0
Nahid Rana,0
Nabi Gul,0
NLTC Perera,0
NL McCullum,0
N Thushara,0
Mustafizur Rahman,0
Mujeeb Ur Rahman,0
Muhammad Shahzad,0
Muhammad Naeem,0
Muhammad Musa,0
Muhammad Ismail,0
Muhammad Faizan,0
Mubasir Khan,0
Naveen-ul-Haq,0
Noor Ahmad,0
OC McCoy,0
